,Ticker,Avg_Quotes,Avg_Trades,Avg_Spread
21,F,68660.28063241107,20449.537549407116,0.010844286896714607
40,ETFC,56404.201581027664,11078.110671936758,0.01097310488781145
14,AMD,69389.48221343874,15866.525691699604,0.011110202843854939
10,MU,64658.387351778656,16278.367588932806,0.011272922435716053
0,MSFT,456509.814229249,88840.60079051384,0.011355566095815055
19,AMAT,190176.56126482214,34270.67984189723,0.011553054259313427
8,T,176773.9604743083,39171.06324110672,0.013445409337561819
4,JPM,391514.1581027668,83502.87351778656,0.01594557606559558
25,PAYX,106241.13043478261,11718.822134387352,0.016507012431199487
5,JNJ,138854.11462450592,23853.731225296444,0.01702023571593979
39,IP,67336.90118577075,9286.96442687747,0.01722721933627421
43,WU,60218.628458498024,8961.98418972332,0.017622614322429796
30,KEY,105831.22134387352,13669.521739130434,0.01894270506313891
7,PG,147210.56916996048,25993.355731225296,0.019370450693460068
37,AKAM,83159.54545454546,13051.245059288538,0.01971175770009504
15,MS,226323.43873517786,47028.55335968379,0.02054951952433289
27,A,59465.656126482216,5029.426877470356,0.0236457363390769
18,TGT,132758.5415019763,20740.486166007904,0.024098840976660357
24,VLO,134942.35968379446,20187.051383399208,0.024124589689585287
16,MMC,68119.8023715415,7175.106719367589,0.024309683824570178
35,OMC,40805.18972332016,4102.438735177866,0.031743147335066536
45,PKI,22215.541501976284,1684.5296442687747,0.0329021905518456
32,K,41417.343873517784,4361.438735177866,0.03373288454757341
44,HAS,29780.596837944664,3201.7667984189725,0.038459154404940035
34,CINF,40004.371541501976,4170.683794466403,0.04376657633924786
11,BIIB,57936.06719367589,10121.869565217392,0.043771460170200165
1,AAPL,416541.4229249012,94884.42687747035,0.04474857298364998
31,CAH,33372.09486166008,3677.01185770751,0.044777994117211756
23,PEG,49280.2371541502,4361.197628458498,0.04543640286380761
33,DOV,33319.52173913043,3126.2687747035575,0.04613053967332637
2,AMZN,126392.46245059288,25877.770750988144,0.04817335158562432
20,EQR,57366.754940711464,6259.339920948617,0.04817504974749208
48,TXT,39908.296442687744,4973.466403162055,0.05010448139178942
17,CSX,70619.78656126482,8975.332015810276,0.05015162636759969
49,CHRW,55081.36363636364,7225.482213438735,0.05363701331699615
38,FCX,134275.40316205533,22545.363636363636,0.0637617471668129
41,AVY,33825.798418972336,1847.4743083003953,0.06517540853853741
22,MCK,26990.130434782608,3414.1660079051385,0.0651942220348626
46,TAP,19604.964426877472,2785.703557312253,0.07093814698355062
26,BLL,24935.035573122528,1453.6600790513835,0.08557656214277103
28,FE,34142.74703557312,3194.8537549407115,0.08636485118663349
29,PPG,34938.691699604744,2620.312252964427,0.09927992020161
13,PNC,63073.928853754944,6275.628458498024,0.10815215736115139
47,APA,103073.54940711462,8889.0,0.12773954666388415
36,HES,72966.13833992094,8107.98814229249,0.1337943652753163
6,V,82514.375,17468.41,0.1350893454626752
42,WYNN,57818.181818181816,7757.434782608696,0.16630483110278838
9,MA,98908.93280632411,6976.99604743083,0.37804402957900984
3,GOOG,164488.62055335968,19028.675889328064,0.40129813672168385
12,BLK,43418.770750988144,1313.490118577075,0.7354003560531996
